"","name","area","value","footnote_codes","state","county","cbsa","rpp.in.100.dollars","ratio"
"386","Cincinnati, OH-KY-IN","0017140",17.58,NA,21,21023,17140,110.4972376,6.28539463026166
"387","Cincinnati, OH-KY-IN","0017140",17.58,NA,21,21191,17140,110.4972376,6.28539463026166
"388","Cincinnati, OH-KY-IN","0017140",17.58,NA,39,39025,17140,110.4972376,6.28539463026166
"389","Cincinnati, OH-KY-IN","0017140",17.58,NA,21,21117,17140,110.4972376,6.28539463026166
"390","Cincinnati, OH-KY-IN","0017140",17.58,NA,18,18161,17140,110.4972376,6.28539463026166
"391","Cincinnati, OH-KY-IN","0017140",17.58,NA,21,21081,17140,110.4972376,6.28539463026166
"392","Cincinnati, OH-KY-IN","0017140",17.58,NA,18,18029,17140,110.4972376,6.28539463026166
"2570","Tampa-St. Petersburg-Clearwater, FL","0045300",15.98,NA,12,12053,45300,100.5025126,6.2892686232791
"2571","Tampa-St. Petersburg-Clearwater, FL","0045300",15.98,NA,12,12103,45300,100.5025126,6.2892686232791
"2572","Tampa-St. Petersburg-Clearwater, FL","0045300",15.98,NA,12,12101,45300,100.5025126,6.2892686232791
"2573","Tampa-St. Petersburg-Clearwater, FL","0045300",15.98,NA,12,12057,45300,100.5025126,6.2892686232791
"2432","Sierra Vista-Douglas, AZ","0043420",17.22,NA,4,4003,43420,108.577633,6.30532131242741
"334","Charleston-North Charleston, SC","0016700",16.52,NA,45,45019,16700,104.1666667,6.30548829903148
"335","Charleston-North Charleston, SC","0016700",16.52,NA,45,45035,16700,104.1666667,6.30548829903148
"336","Charleston-North Charleston, SC","0016700",16.52,NA,45,45015,16700,104.1666667,6.30548829903148
"2242","Pennsylvania","4200000",17.38,NA,42,42121,36340,109.6491228,6.30892536248562
"2243","Pennsylvania","4200000",17.38,NA,42,42127,NA,109.6491228,6.30892536248562
"2244","Pennsylvania","4200000",17.38,NA,42,42123,47620,109.6491228,6.30892536248562
"2245","Pennsylvania","4200000",17.38,NA,42,42119,30260,109.6491228,6.30892536248562
"2246","Pennsylvania","4200000",17.38,NA,42,42073,35260,109.6491228,6.30892536248562
"2247","Pennsylvania","4200000",17.38,NA,42,42047,NA,109.6491228,6.30892536248562
"2248","Pennsylvania","4200000",17.38,NA,42,42023,NA,109.6491228,6.30892536248562
"2249","Pennsylvania","4200000",17.38,NA,42,42107,39060,109.6491228,6.30892536248562
"2250","Pennsylvania","4200000",17.38,NA,42,42015,42380,109.6491228,6.30892536248562
"2251","Pennsylvania","4200000",17.38,NA,42,42083,14620,109.6491228,6.30892536248562
"2252","Pennsylvania","4200000",17.38,NA,42,42039,32740,109.6491228,6.30892536248562
"2253","Pennsylvania","4200000",17.38,NA,42,42065,NA,109.6491228,6.30892536248562
"2254","Pennsylvania","4200000",17.38,NA,42,42105,NA,109.6491228,6.30892536248562
"2255","Pennsylvania","4200000",17.38,NA,42,42061,26500,109.6491228,6.30892536248562
"2256","Pennsylvania","4200000",17.38,NA,42,42059,NA,109.6491228,6.30892536248562
"2257","Pennsylvania","4200000",17.38,NA,42,42109,42780,109.6491228,6.30892536248562
"2258","Pennsylvania","4200000",17.38,NA,42,42097,44980,109.6491228,6.30892536248562
"2259","Pennsylvania","4200000",17.38,NA,42,42033,20180,109.6491228,6.30892536248562
"2260","Pennsylvania","4200000",17.38,NA,42,42087,30380,109.6491228,6.30892536248562
"2261","Pennsylvania","4200000",17.38,NA,42,42113,NA,109.6491228,6.30892536248562
"2262","Pennsylvania","4200000",17.38,NA,42,42067,NA,109.6491228,6.30892536248562
"2263","Pennsylvania","4200000",17.38,NA,42,42117,NA,109.6491228,6.30892536248562
"2264","Pennsylvania","4200000",17.38,NA,42,42031,NA,109.6491228,6.30892536248562
"2265","Pennsylvania","4200000",17.38,NA,42,42063,26860,109.6491228,6.30892536248562
"2266","Pennsylvania","4200000",17.38,NA,42,42111,43740,109.6491228,6.30892536248562
"2267","Pennsylvania","4200000",17.38,NA,42,42035,30820,109.6491228,6.30892536248562
"2268","Pennsylvania","4200000",17.38,NA,42,42115,NA,109.6491228,6.30892536248562
"2269","Pennsylvania","4200000",17.38,NA,42,42009,NA,109.6491228,6.30892536248562
"2270","Pennsylvania","4200000",17.38,NA,42,42057,NA,109.6491228,6.30892536248562
"2271","Pennsylvania","4200000",17.38,NA,42,42053,NA,109.6491228,6.30892536248562
"2232","Oshkosh-Neenah, WI","0036780",17.21,NA,55,55139,36780,108.577633,6.30898506682162
"928","Indianapolis-Carmel-Anderson, IN","0026900",16.92,NA,18,18011,26900,106.8376068,6.31427936170213
"929","Indianapolis-Carmel-Anderson, IN","0026900",16.92,NA,18,18059,26900,106.8376068,6.31427936170213
"930","Indianapolis-Carmel-Anderson, IN","0026900",16.92,NA,18,18109,26900,106.8376068,6.31427936170213
"931","Indianapolis-Carmel-Anderson, IN","0026900",16.92,NA,18,18063,26900,106.8376068,6.31427936170213
"932","Indianapolis-Carmel-Anderson, IN","0026900",16.92,NA,18,18097,26900,106.8376068,6.31427936170213
"933","Indianapolis-Carmel-Anderson, IN","0026900",16.92,NA,18,18013,26900,106.8376068,6.31427936170213
"934","Indianapolis-Carmel-Anderson, IN","0026900",16.92,NA,18,18081,26900,106.8376068,6.31427936170213
"935","Indianapolis-Carmel-Anderson, IN","0026900",16.92,NA,18,18057,26900,106.8376068,6.31427936170213
"936","Indianapolis-Carmel-Anderson, IN","0026900",16.92,NA,18,18145,26900,106.8376068,6.31427936170213
"937","Indianapolis-Carmel-Anderson, IN","0026900",16.92,NA,18,18133,26900,106.8376068,6.31427936170213
"938","Indianapolis-Carmel-Anderson, IN","0026900",16.92,NA,18,18095,26900,106.8376068,6.31427936170213
"1371","Maine","2300000",16.69,NA,23,23009,NA,105.4852321,6.32026555422409
"1372","Maine","2300000",16.69,NA,23,23029,NA,105.4852321,6.32026555422409
"1373","Maine","2300000",16.69,NA,23,23013,NA,105.4852321,6.32026555422409
"1374","Maine","2300000",16.69,NA,23,23025,NA,105.4852321,6.32026555422409
"1375","Maine","2300000",16.69,NA,23,23027,NA,105.4852321,6.32026555422409
"1376","Maine","2300000",16.69,NA,23,23003,NA,105.4852321,6.32026555422409
"1377","Maine","2300000",16.69,NA,23,23017,NA,105.4852321,6.32026555422409
"1378","Maine","2300000",16.69,NA,23,23015,NA,105.4852321,6.32026555422409
"1379","Maine","2300000",16.69,NA,23,23021,NA,105.4852321,6.32026555422409
"1380","Maine","2300000",16.69,NA,23,23007,NA,105.4852321,6.32026555422409
"1381","Maine","2300000",16.69,NA,23,23011,12300,105.4852321,6.32026555422409
"1280","Las Vegas-Henderson-Paradise, NV","0029820",15.94,NA,32,32003,29820,100.8064516,6.32411867001255
"1295","Lincoln, NE","0030700",16.99,NA,31,31109,30700,107.6426265,6.33564605650383
"1296","Lincoln, NE","0030700",16.99,NA,31,31159,30700,107.6426265,6.33564605650383
"2542","St. Louis, MO-IL","0041180",17.56,NA,29,29183,41180,111.4827202,6.34867427107062
"2543","St. Louis, MO-IL","0041180",17.56,NA,29,29071,41180,111.4827202,6.34867427107062
"2544","St. Louis, MO-IL","0041180",17.56,NA,29,29510,41180,111.4827202,6.34867427107062
"2545","St. Louis, MO-IL","0041180",17.56,NA,29,29219,41180,111.4827202,6.34867427107062
"2546","St. Louis, MO-IL","0041180",17.56,NA,17,17083,41180,111.4827202,6.34867427107062
"2547","St. Louis, MO-IL","0041180",17.56,NA,17,17005,41180,111.4827202,6.34867427107062
"2548","St. Louis, MO-IL","0041180",17.56,NA,17,17013,41180,111.4827202,6.34867427107062
"2549","St. Louis, MO-IL","0041180",17.56,NA,29,29099,41180,111.4827202,6.34867427107062
"2550","St. Louis, MO-IL","0041180",17.56,NA,17,17163,41180,111.4827202,6.34867427107062
"2551","St. Louis, MO-IL","0041180",17.56,NA,17,17119,41180,111.4827202,6.34867427107062
"2552","St. Louis, MO-IL","0041180",17.56,NA,29,29189,41180,111.4827202,6.34867427107062
"2553","St. Louis, MO-IL","0041180",17.56,NA,17,17117,41180,111.4827202,6.34867427107062
"2554","St. Louis, MO-IL","0041180",17.56,NA,17,17027,41180,111.4827202,6.34867427107062
"2555","St. Louis, MO-IL","0041180",17.56,NA,17,17133,41180,111.4827202,6.34867427107062
"2556","St. Louis, MO-IL","0041180",17.56,NA,29,29113,41180,111.4827202,6.34867427107062
"2535","St. Cloud, MN","0041060",16.79,NA,27,27145,41060,106.7235859,6.35637795711733
"2536","St. Cloud, MN","0041060",16.79,NA,27,27009,41060,106.7235859,6.35637795711733
"271","Bloomsburg-Berwick, PA","0014100",17.06,NA,42,42093,14100,108.4598698,6.35755391559203
"272","Bloomsburg-Berwick, PA","0014100",17.06,NA,42,42037,14100,108.4598698,6.35755391559203
"227","Baton Rouge, LA","0012940",16.89,NA,22,22125,12940,107.5268817,6.36630442273535
"228","Baton Rouge, LA","0012940",16.89,NA,22,22047,12940,107.5268817,6.36630442273535
"229","Baton Rouge, LA","0012940",16.89,NA,22,22063,12940,107.5268817,6.36630442273535
"230","Baton Rouge, LA","0012940",16.89,NA,22,22091,12940,107.5268817,6.36630442273535
"231","Baton Rouge, LA","0012940",16.89,NA,22,22077,12940,107.5268817,6.36630442273535
"232","Baton Rouge, LA","0012940",16.89,NA,22,22005,12940,107.5268817,6.36630442273535
"233","Baton Rouge, LA","0012940",16.89,NA,22,22033,12940,107.5268817,6.36630442273535
"234","Baton Rouge, LA","0012940",16.89,NA,22,22121,12940,107.5268817,6.36630442273535
"235","Baton Rouge, LA","0012940",16.89,NA,22,22037,12940,107.5268817,6.36630442273535
"246","Billings, MT","0013740",16.12,NA,30,30037,13740,102.6694045,6.36906975806452
"247","Billings, MT","0013740",16.12,NA,30,30111,13740,102.6694045,6.36906975806452
"248","Billings, MT","0013740",16.12,NA,30,30009,13740,102.6694045,6.36906975806452
"1769","Nashville-Davidson--Murfreesboro--Franklin, TN","0034980",16.72,NA,47,47043,34980,106.6098081,6.37618469497608
"1770","Nashville-Davidson--Murfreesboro--Franklin, TN","0034980",16.72,NA,47,47015,34980,106.6098081,6.37618469497608
"1771","Nashville-Davidson--Murfreesboro--Franklin, TN","0034980",16.72,NA,47,47147,34980,106.6098081,6.37618469497608
"1772","Nashville-Davidson--Murfreesboro--Franklin, TN","0034980",16.72,NA,47,47187,34980,106.6098081,6.37618469497608
"1773","Nashville-Davidson--Murfreesboro--Franklin, TN","0034980",16.72,NA,47,47021,34980,106.6098081,6.37618469497608
"1774","Nashville-Davidson--Murfreesboro--Franklin, TN","0034980",16.72,NA,47,47189,34980,106.6098081,6.37618469497608
"1775","Nashville-Davidson--Murfreesboro--Franklin, TN","0034980",16.72,NA,47,47081,34980,106.6098081,6.37618469497608
"1776","Nashville-Davidson--Murfreesboro--Franklin, TN","0034980",16.72,NA,47,47149,34980,106.6098081,6.37618469497608
"1777","Nashville-Davidson--Murfreesboro--Franklin, TN","0034980",16.72,NA,47,47159,34980,106.6098081,6.37618469497608
